MIT License
Copyright (c) 2018 Kawai Lo
https://github.com/breezyreeds/kangxi-strokecount

CodePoint,Value,Character,Strokes
U+3687,13959,㚇,9
U+3A16,14870,㨖,13
U+3ADA,15066,㫚,8
U+3B39,15161,㬹,14
U+4091,16529,䂑,10
U+4347,17223,䍇,11
U+49F9,18937,䧹,13
U+4CED,19693,䳭,20
U+4D60,19808,䵠,15
U+4E00,19968,一,1
U+4E01,19969,丁,2
U+4E02,19970,丂,2
U+4E03,19971,七,2
U+4E04,19972,丄,2
U+4E05,19973,丅,2
U+4E06,19974,丆,2
U+4E07,19975,万,3
U+4E08,19976,丈,3
U+4E09,19977,三,3
U+4E0A,19978,上,3
U+4E0B,19979,下,3
U+4E0C,19980,丌,3
U+4E0D,19981,不,4
U+4E0E,19982,与,4
U+4E0F,19983,丏,4
U+4E10,19984,丐,4
U+4E11,19985,丑,4
U+4E12,19986,丒,4
U+4E13,19987,专,4
U+4E14,19988,且,5
U+4E15,19989,丕,5
U+4E16,19990,世,5
U+4E17,19991,丗,4
U+4E18,19992,丘,5
U+4E19,19993,丙,5
U+4E1A,19994,业,5
U+4E1B,19995,丛,5
U+4E1C,19996,东,5
U+4E1D,19997,丝,5
U+4E1E,19998,丞,6
U+4E1F,19999,丟,6
U+4E21,20001,両,6
U+4E22,20002,丢,6
U+4E23,20003,丣,7
U+4E24,20004,两,7
U+4E25,20005,严,7
U+4E26,20006,並,8
U+4E27,20007,丧,8
U+4E28,20008,丨,1
U+4E2A,20010,个,3
U+4E2B,20011,丫,3
U+4E2C,20012,丬,4
U+4E2D,20013,中,4
U+4E2E,20014,丮,4
U+4E2F,20015,丯,4
U+4E30,20016,丰,4
U+4E31,20017,丱,5
U+4E32,20018,串,7
U+4E33,20019,丳,8
U+4E34,20020,临,9
U+4E35,20021,丵,10
U+4E36,20022,丶,1
U+4E37,20023,丷,2
U+4E38,20024,丸,3
U+4E39,20025,丹,4
U+4E3A,20026,为,4
U+4E3B,20027,主,5
U+4E3C,20028,丼,5
U+4E3D,20029,丽,8
U+4E3E,20030,举,9
U+4E3F,20031,丿,1
U+4E40,20032,乀,1
U+4E41,20033,乁,1
U+4E42,20034,乂,2
U+4E43,20035,乃,2
U+4E44,20036,乄,2
U+4E45,20037,久,3
U+4E47,20039,乇,3
U+4E48,20040,么,3
U+4E49,20041,义,3
U+4E4A,20042,乊,3
U+4E4B,20043,之,4
U+4E4C,20044,乌,4
U+4E4D,20045,乍,5
U+4E4E,20046,乎,5
U+4E4F,20047,乏,5
U+4E50,20048,乐,5
U+4E51,20049,乑,6
U+4E52,20050,乒,6
U+4E53,20051,乓,6
U+4E54,20052,乔,6
U+4E55,20053,乕,7
U+4E56,20054,乖,8
U+4E57,20055,乗,9
U+4E58,20056,乘,10
U+4E59,20057,乙,1
U+4E5A,20058,乚,1
U+4E5B,20059,乛,1
U+4E5C,20060,乜,2
U+4E5D,20061,九,2
U+4E5E,20062,乞,3
U+4E5F,20063,也,3
U+4E60,20064,习,3
U+4E61,20065,乡,3
U+4E62,20066,乢,4
U+4E63,20067,乣,4
U+4E64,20068,乤,4
U+4E65,20069,乥,4
U+4E66,20070,书,4
U+4E67,20071,乧,5
U+4E68,20072,乨,6
U+4E69,20073,乩,6
U+4E6A,20074,乪,6
U+4E6B,20075,乫,6
U+4E6C,20076,乬,6
U+4E6D,20077,乭,6
U+4E6E,20078,乮,6
U+4E6F,20079,乯,6
U+4E70,20080,买,6
U+4E71,20081,乱,7
U+4E72,20082,乲,7
U+4E73,20083,乳,8
U+4E74,20084,乴,8
U+4E75,20085,乵,8
U+4E76,20086,乶,8
U+4E77,20087,乷,8
U+4E78,20088,乸,7
U+4E79,20089,乹,9
U+4E7A,20090,乺,9
U+4E7B,20091,乻,9
U+4E7C,20092,乼,9
U+4E7D,20093,乽,10
U+4E7E,20094,乾,11
U+4E7F,20095,乿,11
U+4E80,20096,亀,16
U+4E81,20097,亁,12
U+4E82,20098,亂,13
U+4E83,20099,亃,13
U+4E84,20100,亄,13
U+4E85,20101,亅,1
U+4E86,20102,了,2
U+4E87,20103,亇,3
U+4E88,20104,予,4
U+4E89,20105,争,6
U+4E8A,20106,亊,7
U+4E8B,20107,事,8
U+4E8C,20108,二,2
U+4E8D,20109,亍,3
U+4E8E,20110,于,3
U+4E8F,20111,亏,3
U+4E90,20112,亐,3
U+4E91,20113,云,4
U+4E92,20114,互,4
U+4E93,20115,亓,4
U+4E94,20116,五,4
U+4E95,20117,井,4
U+4E96,20118,亖,4
U+4E97,20119,亗,5
U+4E98,20120,亘,6
U+4E99,20121,亙,6
U+4E9A,20122,亚,6
U+4E9B,20123,些,7
U+4E9C,20124,亜,7
U+4E9D,20125,亝,8
U+4E9E,20126,亞,8
U+4E9F,20127,亟,8
U+4EA0,20128,亠,2
U+4EA1,20129,亡,3
U+4EA2,20130,亢,4
U+4EA3,20131,亣,4
U+4EA4,20132,交,6
U+4EA5,20133,亥,6
U+4EA6,20134,亦,6
U+4EA7,20135,产,6
U+4EA8,20136,亨,7
U+4EA9,20137,亩,7
U+4EAA,20138,亪,7
U+4EAB,20139,享,8
U+4EAC,20140,京,8
U+4EAD,20141,亭,9
U+4EAE,20142,亮,9
U+4EAF,20143,亯,9
U+4EB0,20144,亰,9
U+4EB2,20146,亲,9
U+4EB3,20147,亳,10
U+4EB4,20148,亴,12
U+4EB5,20149,亵,12
U+4EB6,20150,亶,13
U+4EB8,20152,亸,16
U+4EB9,20153,亹,21
U+4EBA,20154,人,2
U+4EBB,20155,亻,2
U+4EBC,20156,亼,3
U+4EBD,20157,亽,3
U+4EBF,20159,亿,3
U+4EC0,20160,什,4
U+4EC1,20161,仁,4
U+4EC2,20162,仂,4
U+4EC3,20163,仃,4
U+4EC4,20164,仄,4
U+4EC5,20165,仅,4
U+4EC6,20166,仆,4
U+4EC7,20167,仇,4
U+4EC8,20168,仈,4
U+4EC9,20169,仉,4
U+4ECA,20170,今,4
U+4ECB,20171,介,4
U+4ECC,20172,仌,4
U+4ECD,20173,仍,4
U+4ECE,20174,从,4
U+4ECF,20175,仏,4
U+4ED0,20176,仐,4
U+4ED1,20177,仑,4
U+4ED2,20178,仒,4
U+4ED3,20179,仓,4
U+4ED4,20180,仔,5
U+4ED5,20181,仕,5
U+4ED6,20182,他,5
U+4ED7,20183,仗,5
U+4ED8,20184,付,5
U+4ED9,20185,仙,5
U+4EDA,20186,仚,5
U+4EDB,20187,仛,5
U+4EDC,20188,仜,5
U+4EDD,20189,仝,5
U+4EDE,20190,仞,5
U+4EDF,20191,仟,5
U+4EE0,20192,仠,5
U+4EE1,20193,仡,5
U+4EE2,20194,仢,5
U+4EE3,20195,代,5
U+4EE4,20196,令,5
U+4EE5,20197,以,5
U+4EE6,20198,仦,5
U+4EE7,20199,仧,5
U+4EE8,20200,仨,5
U+4EE9,20201,仩,5
U+4EEA,20202,仪,5
U+4EEB,20203,仫,5
U+4EEC,20204,们,5
U+4EED,20205,仭,5
U+4EEE,20206,仮,6
U+4EEF,20207,仯,6
U+4EF0,20208,仰,6
U+4EF1,20209,仱,6
U+4EF2,20210,仲,6
U+4EF3,20211,仳,6
U+4EF4,20212,仴,6
U+4EF5,20213,仵,6
U+4EF6,20214,件,6
U+4EF7,20215,价,6
U+4EF8,20216,仸,6
U+4EF9,20217,仹,6
U+4EFA,20218,仺,6
U+4EFB,20219,任,6
U+4EFC,20220,仼,6
U+4EFD,20221,份,6
U+4EFE,20222,仾,6
U+4EFF,20223,仿,6
U+4F00,20224,伀,6
U+4F01,20225,企,6
U+4F02,20226,伂,6
U+4F03,20227,伃,6
U+4F04,20228,伄,6
U+4F05,20229,伅,6
U+4F06,20230,伆,6
U+4F07,20231,伇,6
